cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	VH	SMA	QUAD	frac_VH	frac_SMA	frac_QUAD	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
148	810	QUAD;SMA;VH	865.0	CT	SMA	0.5098265895953757	False	Cross tissue	385.0	441.0	39.0	0.44508670520231214	0.5098265895953757	0.04508670520231214	17	0.0209876543209876	0	0.0	11	0.0135802469135802	0	0.0	16	0.019753086419753	150	0.1851851851851851	21	0.0259259259259259	75	0.0925925925925925	81	0.1	443	0.5469135802469136	539	0.6654320987654321	814	TARS2(enzyme;Alzheimer_evidence);H2BC4(Alzheimer_evidence);SCD(enzyme;Alzheimer_evidence);PLRG1(Alzheimer_evidence);BACE1(enzyme;known_drug_target;Alzheimer_evidence);PDE7B(enzyme;known_drug_target;Alzheimer_evidence);MRPS27(Alzheimer_evidence);ZKSCAN1(transcription_factor;Alzheimer_evidence);NVL(Alzheimer_evidence);CCDC88A(Alzheimer_evidence);EPHX2(enzyme;known_drug_target;Alzheimer_evidence);CAMK1G(kinase;enzyme;known_drug_target;Alzheimer_evidence);S100A13(Alzheimer_evidence);HCN2(ion_channel;known_drug_target;Alzheimer_evidence);FADS1(enzyme;Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);NDUFA7(Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);SLC6A1(transporter;known_drug_target;Alzheimer_evidence);TYW1(Alzheimer_evidence);SRR(enzyme;Alzheimer_evidence);NDUFA10(Alzheimer_evidence);CSAD(enzyme;Alzheimer_evidence);ALDH5A1(enzyme;known_drug_target;Alzheimer_evidence)	1
504	474	QUAD;SMA;VH	497.0	CT	SMA	0.6096579476861167	False	Cross tissue	186.0	303.0	8.0	0.37424547283702214	0.6096579476861167	0.01609657947686117	30	0.0632911392405063	5	0.010548523206751	17	0.0358649789029535	0	0.0	16	0.0337552742616033	117	0.2468354430379747	36	0.0759493670886076	23	0.0485232067510548	95	0.20042194092827	389	0.820675105485232	414	0.8734177215189873	728	BCHE(enzyme;known_drug_target;Alzheimer_evidence);HMGCR(enzyme;known_drug_target;Alzheimer_evidence);NDUFA9(enzyme;Alzheimer_evidence);PPT1(enzyme;known_drug_target;Alzheimer_evidence);COPA(receptor;known_drug_target;Alzheimer_evidence);SNRPD3(Alzheimer_evidence);PTDSS1(enzyme;Alzheimer_evidence);SQLE(enzyme;known_drug_target;Alzheimer_evidence);CDH13(Alzheimer_evidence);CNTNAP2(Alzheimer_evidence);RAD51C(Alzheimer_evidence);KIT(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);SLC39A10(transporter;known_drug_target;Alzheimer_evidence);FAM20B(kinase;enzyme;Alzheimer_evidence);HTR2C(receptor;known_drug_target;Alzheimer_evidence);CACNA1A(ion_channel;known_drug_target;Alzheimer_evidence);EXOC2(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);SLC25A4(transporter;known_drug_target;Alzheimer_evidence);PPP3R1(enzyme;Alzheimer_evidence);CELF4(Alzheimer_evidence);RGMB(receptor;Alzheimer_evidence);MRPS15(Alzheimer_evidence);MB21D2(Alzheimer_evidence);HEXB(enzyme;Alzheimer_evidence)	2
511	581	QUAD;SMA;VH	601.0	CT	SMA	0.5374376039933444	False	Cross tissue	254.0	323.0	24.0	0.4226289517470882	0.5374376039933444	0.03993344425956739	17	0.0292598967297762	0	0.0	13	0.0223752151462994	3	0.0051635111876075	10	0.0172117039586919	116	0.1996557659208261	14	0.0240963855421686	57	0.0981067125645439	65	0.1118760757314974	405	0.6970740103270223	450	0.774526678141136	700	NDUFS5(Alzheimer_evidence);MASTL(kinase;enzyme;known_drug_target;Alzheimer_evidence);NDUFC2(Alzheimer_evidence);NDUFA6(Alzheimer_evidence);NDUFC1(Alzheimer_evidence);PTDSS1(enzyme;Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);COX7C(enzyme;Alzheimer_evidence);UQCRB(enzyme;Alzheimer_evidence);EMC4(Alzheimer_evidence);ARPC5L(Alzheimer_evidence);LCMT1(enzyme;Alzheimer_evidence);CCN3(known_drug_target;Alzheimer_evidence);GRIA1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);MRPS17(Alzheimer_evidence);PSME4(Alzheimer_evidence);CNTNAP5(Alzheimer_evidence);NEGR1(Alzheimer_evidence);KCNJ3(ion_channel;known_drug_target;Alzheimer_evidence);G3BP2(Alzheimer_evidence);BZW2(Alzheimer_evidence);PCBP2(Alzheimer_evidence);CKAP5(Alzheimer_evidence);ARPC2(Alzheimer_evidence)	3
1755	514	QUAD;SMA;VH	532.0	CT	VH	0.5714285714285714	False	Cross tissue	304.0	61.0	167.0	0.5714285714285714	0.11466165413533834	0.31390977443609025	16	0.0311284046692607	2	0.0038910505836575	3	0.0058365758754863	2	0.0038910505836575	12	0.0233463035019455	114	0.2217898832684824	21	0.0408560311284046	71	0.1381322957198443	76	0.1478599221789883	328	0.6381322957198443	391	0.7607003891050583	645	TNPO3(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);NUP205(Alzheimer_evidence);SNRPD2(Alzheimer_evidence);PANK1(kinase;enzyme;Alzheimer_evidence);MINDY2(Alzheimer_evidence);PRDX1(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);PPP3CC(enzyme;Alzheimer_evidence);PTPRJ(enzyme;receptor;known_drug_target;Alzheimer_evidence);GTF2I(transcription_factor;Alzheimer_evidence);FAM20B(kinase;enzyme;Alzheimer_evidence);PNO1(Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence);PPP1CB(enzyme;Alzheimer_evidence);PURA(Alzheimer_evidence);SMARCC1(Alzheimer_evidence);STAG1(Alzheimer_evidence);CREM(Alzheimer_evidence);PCBP2(Alzheimer_evidence);RSAD1(Alzheimer_evidence);HOXB9(transcription_factor;Alzheimer_evidence);TUBB(known_drug_target;Alzheimer_evidence);RNF24(Alzheimer_evidence);BRWD1(known_drug_target;Alzheimer_evidence)	4
506	458	QUAD;SMA;VH	478.0	CT	SMA	0.6485355648535565	False	Cross tissue	162.0	310.0	6.0	0.3389121338912134	0.6485355648535565	0.012552301255230125	17	0.037117903930131	2	0.0043668122270742	6	0.0131004366812227	1	0.0021834061135371	15	0.0327510917030567	133	0.2903930131004367	8	0.0174672489082969	20	0.0436681222707423	51	0.111353711790393	374	0.8165938864628821	394	0.8602620087336245	627	NDUFS1(enzyme;Alzheimer_evidence);ATP6V1A(enzyme;known_drug_target;Alzheimer_evidence);CAMLG(Alzheimer_evidence);ATP6V1C1(known_drug_target;Alzheimer_evidence);MTMR6(enzyme;Alzheimer_evidence);CLTC(Alzheimer_evidence);NDUFB9(Alzheimer_evidence);NDUFA5(Alzheimer_evidence);DHX15(Alzheimer_evidence);RAP2B(Alzheimer_evidence);SNRK(kinase;enzyme;known_drug_target;Alzheimer_evidence);QPCT(enzyme;known_drug_target;Alzheimer_evidence);DLD(enzyme;Alzheimer_evidence);NDUFB6(Alzheimer_evidence);MAP2K4(kinase;enzyme;known_drug_target;Alzheimer_evidence);COX7B(enzyme;Alzheimer_evidence);TRMT10C(enzyme;Alzheimer_evidence);ARL1(Alzheimer_evidence);MRPL42(Alzheimer_evidence);MRPL45(Alzheimer_evidence);UBE2V2(enzyme;Alzheimer_evidence);SCARB2(receptor;Alzheimer_evidence);ACTR2(Alzheimer_evidence);ADH5(enzyme;Alzheimer_evidence);ARHGAP15(Alzheimer_evidence)	5
1753	551	QUAD;SMA;VH	600.0	CT	VH	0.43666666666666665	False	Cross tissue	262.0	184.0	154.0	0.43666666666666665	0.30666666666666664	0.25666666666666665	18	0.0326678765880217	3	0.0054446460980036	5	0.0090744101633393	1	0.0018148820326678	7	0.0127041742286751	109	0.1978221415607985	15	0.0272232304900181	60	0.1088929219600726	79	0.1433756805807622	312	0.5662431941923775	372	0.6751361161524501	609	CD33(known_drug_target;Alzheimer_evidence);PLCG2(enzyme;known_drug_target;Alzheimer_evidence);MS4A6A(Alzheimer_evidence);NEU1(enzyme;known_drug_target;Alzheimer_evidence);XPO1(known_drug_target;Alzheimer_evidence);BLOC1S5(Alzheimer_evidence);SKP2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CALR(Alzheimer_evidence);PAPOLA(enzyme;Alzheimer_evidence);SPTLC2(enzyme;known_drug_target;Alzheimer_evidence);HINFP(transcription_factor;Alzheimer_evidence);ZC3H8(transcription_factor;Alzheimer_evidence);S100A4(Alzheimer_evidence);ABHD6(enzyme;known_drug_target;Alzheimer_evidence);CAV1(Alzheimer_evidence);MAPK14(kinase;enzyme;known_drug_target;Alzheimer_evidence);TPST2(enzyme;Alzheimer_evidence);TLR5(receptor;known_drug_target;Alzheimer_evidence);GALM(enzyme;Alzheimer_evidence);MPDZ(Alzheimer_evidence);EED(known_drug_target;Alzheimer_evidence);SLC38A9(transporter;known_drug_target;Alzheimer_evidence);RSAD1(Alzheimer_evidence);ZNF615(transcription_factor;Alzheimer_evidence);SCYL3(Alzheimer_evidence)	6
509	440	QUAD;SMA;VH	457.0	CT	SMA	0.7089715536105032	False	Cross tissue	116.0	324.0	17.0	0.2538293216630197	0.7089715536105032	0.037199124726477024	10	0.0227272727272727	1	0.0022727272727272	1	0.0022727272727272	1	0.0022727272727272	9	0.0204545454545454	108	0.2454545454545454	5	0.0113636363636363	31	0.0704545454545454	38	0.0863636363636363	324	0.7363636363636363	352	0.8	528	NDUFAB1(Alzheimer_evidence);NDUFV2(enzyme;Alzheimer_evidence);LSM6(Alzheimer_evidence);NDUFB9(Alzheimer_evidence);COPB1(Alzheimer_evidence);SNRPE(Alzheimer_evidence);RSL24D1(Alzheimer_evidence);ING3(Alzheimer_evidence);CAST(Alzheimer_evidence);PPP3CC(enzyme;Alzheimer_evidence);NDUFB6(Alzheimer_evidence);KAT7(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);PTPRS(enzyme;receptor;known_drug_target;Alzheimer_evidence);COX7B(enzyme;Alzheimer_evidence);PNO1(Alzheimer_evidence);ATP5F1C(enzyme;known_drug_target;Alzheimer_evidence);NDUFS4(Alzheimer_evidence);DSTN(Alzheimer_evidence);MRPL33(Alzheimer_evidence);RRM2B(enzyme;known_drug_target;Alzheimer_evidence);GSTO1(enzyme;known_drug_target;Alzheimer_evidence);SH3BGRL(Alzheimer_evidence);NEGR1(Alzheimer_evidence);GRK5(kinase;GPCR;enzyme;receptor;known_drug_target;Alzheimer_evidence);CREM(Alzheimer_evidence)	7
2046	365	QUAD;SMA;VH	374.0	CT	VH	0.5080213903743316	False	Cross tissue	190.0	161.0	23.0	0.5080213903743316	0.4304812834224599	0.06149732620320856	16	0.0438356164383561	0	0.0	2	0.0054794520547945	1	0.0027397260273972	11	0.0301369863013698	92	0.2520547945205479	25	0.0684931506849315	31	0.084931506849315	82	0.2246575342465753	252	0.6904109589041096	282	0.7726027397260274	512	CD2AP(Alzheimer_evidence);KAT8(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);CLK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEC13(Alzheimer_evidence);ABI3(Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);PECAM1(Alzheimer_evidence);AKAP8L(kinase;enzyme;Alzheimer_evidence);HIF1A(Alzheimer_evidence);ABCG1(transporter;enzyme;known_drug_target;Alzheimer_evidence);ATP10D(enzyme;known_drug_target;Alzheimer_evidence);IRF2(transcription_factor;Alzheimer_evidence);UBA1(enzyme;Alzheimer_evidence);ZNF800(transcription_factor;Alzheimer_evidence);IKZF2(transcription_factor;Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);DENND3(Alzheimer_evidence);ACSL1(enzyme;Alzheimer_evidence);SAMHD1(enzyme;known_drug_target;Alzheimer_evidence);ADORA3(receptor;known_drug_target;Alzheimer_evidence);PRKD3(kinase;enzyme;known_drug_target;Alzheimer_evidence);BCL6(transcription_factor;known_drug_target;Alzheimer_evidence);MFAP3(Alzheimer_evidence);NHP2(Alzheimer_evidence)	8
1974	374	QUAD;SMA;VH	376.0	CT	SMA	0.6941489361702128	False	Cross tissue	28.0	261.0	87.0	0.07446808510638298	0.6941489361702128	0.23138297872340424	19	0.0508021390374331	4	0.0106951871657754	1	0.0026737967914438	0	0.0	16	0.0427807486631016	86	0.2299465240641711	26	0.0695187165775401	22	0.0588235294117647	81	0.2165775401069518	251	0.6711229946524064	274	0.732620320855615	506	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);INPP5D(enzyme;known_drug_target;Alzheimer_evidence);ZNF207(transcription_factor;Alzheimer_evidence);MTMR14(enzyme;Alzheimer_evidence);RIPK1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ABCA1(transporter;enzyme;Alzheimer_evidence);PIP5K1A(kinase;enzyme;known_drug_target;Alzheimer_evidence);B4GALT1(enzyme;Alzheimer_evidence);CTSH(enzyme;known_drug_target;Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);IL6R(receptor;known_drug_target;Alzheimer_evidence);SDCCAG8(Alzheimer_evidence);PPP4R1(enzyme;Alzheimer_evidence);TFPI(enzyme;known_drug_target;Alzheimer_evidence);TP53INP1(Alzheimer_evidence);DDR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ANXA2(Alzheimer_evidence);ERG(transcription_factor;Alzheimer_evidence);AUTS2(Alzheimer_evidence);APOC1(Alzheimer_evidence);SYNE2(Alzheimer_evidence);SFT2D2(Alzheimer_evidence);PDE3A(enzyme;known_drug_target;Alzheimer_evidence)	9
167	363	QUAD;SMA;VH	375.0	CT	VH	0.6293333333333333	False	Cross tissue	236.0	10.0	129.0	0.6293333333333333	0.02666666666666667	0.344	12	0.0330578512396694	1	0.0027548209366391	4	0.0110192837465564	0	0.0	3	0.0082644628099173	93	0.256198347107438	7	0.0192837465564738	44	0.1212121212121212	43	0.1184573002754821	232	0.6391184573002755	279	0.768595041322314	439	APH1B(Alzheimer_evidence);SNRPD3(Alzheimer_evidence);MDN1(Alzheimer_evidence);RXRG(receptor;known_drug_target;Alzheimer_evidence);APH1A(Alzheimer_evidence);CCDC88A(Alzheimer_evidence);FECH(enzyme;Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);RRM1(enzyme;known_drug_target;Alzheimer_evidence);NUP155(Alzheimer_evidence);ACVR2B(receptor;known_drug_target;Alzheimer_evidence);STRADA(known_drug_target;Alzheimer_evidence);MTMR2(enzyme;Alzheimer_evidence);ME3(enzyme;Alzheimer_evidence);COLQ(Alzheimer_evidence);MCCC2(enzyme;Alzheimer_evidence);WDR70(Alzheimer_evidence);EFHD1(Alzheimer_evidence);TMED4(Alzheimer_evidence);PDE11A(enzyme;known_drug_target;Alzheimer_evidence);PRKCQ(kinase;enzyme;known_drug_target;Alzheimer_evidence);ICA1L(Alzheimer_evidence);WDPCP(Alzheimer_evidence);JARID2(Alzheimer_evidence);INPP5B(enzyme;known_drug_target;Alzheimer_evidence)	10
1770	378	QUAD;SMA;VH	397.0	CT	SMA	0.5894206549118388	False	Cross tissue	140.0	234.0	23.0	0.3526448362720403	0.5894206549118388	0.05793450881612091	16	0.0423280423280423	0	0.0	2	0.0052910052910052	4	0.0105820105820105	7	0.0185185185185185	55	0.1455026455026455	20	0.0529100529100529	60	0.1587301587301587	42	0.1111111111111111	217	0.5740740740740741	264	0.6984126984126984	423	NCK2(Alzheimer_evidence);DSTYK(kinase;enzyme;known_drug_target;Alzheimer_evidence);NOP16(Alzheimer_evidence);MINDY2(Alzheimer_evidence);VEZF1(transcription_factor;Alzheimer_evidence);MTFR1(Alzheimer_evidence);ZNF568(transcription_factor;Alzheimer_evidence);SYBU(Alzheimer_evidence);USP3(enzyme;Alzheimer_evidence);ATM(kinase;enzyme;known_drug_target;Alzheimer_evidence);GALM(enzyme;Alzheimer_evidence);MIOS(Alzheimer_evidence);ZNF813(transcription_factor;Alzheimer_evidence);PPM1D(enzyme;known_drug_target;Alzheimer_evidence);ZNF227(transcription_factor;Alzheimer_evidence);MAN1A1(enzyme;Alzheimer_evidence);SPTSSA(known_drug_target;Alzheimer_evidence);IP6K2(kinase;enzyme;Alzheimer_evidence);NFAT5(Alzheimer_evidence);FLRT2(Alzheimer_evidence);MTRFR(Alzheimer_evidence);RNF152(Alzheimer_evidence);SYNM(kinase;enzyme;Alzheimer_evidence);PHF3(Alzheimer_evidence);NEAT1(Alzheimer_evidence)	11
1135	340	QUAD;SMA;VH	346.0	CT	SMA	0.5173410404624278	False	Cross tissue	162.0	179.0	5.0	0.4682080924855491	0.5173410404624278	0.014450867052023121	20	0.0588235294117647	0	0.0	4	0.0117647058823529	0	0.0	5	0.0147058823529411	71	0.2088235294117647	12	0.0352941176470588	39	0.1147058823529411	52	0.1529411764705882	215	0.6323529411764706	244	0.7176470588235294	418	CDC25B(enzyme;Alzheimer_evidence);MT-ND1(enzyme;Alzheimer_evidence);CLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);PDE9A(enzyme;known_drug_target;Alzheimer_evidence);FLNA(Alzheimer_evidence);TRRAP(kinase;enzyme;known_drug_target;Alzheimer_evidence);CACNA1A(ion_channel;known_drug_target;Alzheimer_evidence);NME4(kinase;enzyme;Alzheimer_evidence);DYRK1B(kinase;enzyme;known_drug_target;Alzheimer_evidence);SHROOM1(Alzheimer_evidence);CDK11B(kinase;enzyme;known_drug_target;Alzheimer_evidence);NRF1(Alzheimer_evidence);EPS15L1(receptor;Alzheimer_evidence);SLC22A23(transporter;known_drug_target;Alzheimer_evidence);TACC2(Alzheimer_evidence);TRIOBP(Alzheimer_evidence);TTC28(Alzheimer_evidence);COLQ(Alzheimer_evidence);TAFA5(Alzheimer_evidence);CELF5(Alzheimer_evidence);FGFR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);FRMD4A(Alzheimer_evidence);RARA(receptor;known_drug_target;Alzheimer_evidence);DOCK6(Alzheimer_evidence);BRD1(known_drug_target;Alzheimer_evidence)	12
56	338	QUAD;SMA;VH	349.0	CT	VH	0.6790830945558739	False	Cross tissue	237.0	80.0	32.0	0.6790830945558739	0.22922636103151864	0.09169054441260745	18	0.0532544378698224	0	0.0	8	0.0236686390532544	2	0.0059171597633136	9	0.0266272189349112	64	0.1893491124260355	19	0.0562130177514792	17	0.0502958579881656	54	0.1597633136094674	226	0.6686390532544378	249	0.7366863905325444	417	SCD(enzyme;Alzheimer_evidence);NDUFC2(Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);CHRNA7(ion_channel;receptor;known_drug_target;Alzheimer_evidence);SLIT3(Alzheimer_evidence);RPS6KC1(kinase;enzyme;known_drug_target;Alzheimer_evidence);GRIK1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);NICN1(Alzheimer_evidence);MYOM2(Alzheimer_evidence);SIK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);ROBO2(receptor;Alzheimer_evidence);CTNNA2(Alzheimer_evidence);TENM2(Alzheimer_evidence);VWA8(Alzheimer_evidence);SHANK2(Alzheimer_evidence);NRXN1(Alzheimer_evidence);SEMA6D(Alzheimer_evidence);KLC1(Alzheimer_evidence);GRM8(receptor;known_drug_target;Alzheimer_evidence);IRAK1BP1(kinase;enzyme;receptor;Alzheimer_evidence);KIF2A(Alzheimer_evidence);GRAMD1B(Alzheimer_evidence);DUSP6(kinase;enzyme;Alzheimer_evidence)	13
151	355	QUAD;SMA;VH	361.0	CT	QUAD	0.8227146814404432	False	Cross tissue	36.0	28.0	297.0	0.0997229916897507	0.07756232686980609	0.8227146814404432	12	0.0338028169014084	1	0.0028169014084507	1	0.0028169014084507	3	0.0084507042253521	5	0.0140845070422535	89	0.2507042253521127	8	0.0225352112676056	36	0.1014084507042253	34	0.0957746478873239	225	0.6338028169014085	267	0.752112676056338	414	HFE(Alzheimer_evidence);NDUFA9(enzyme;Alzheimer_evidence);TARS2(enzyme;Alzheimer_evidence);PPT1(enzyme;known_drug_target;Alzheimer_evidence);HSD17B12(enzyme;Alzheimer_evidence);SNRPD3(Alzheimer_evidence);PLRG1(Alzheimer_evidence);CDH13(Alzheimer_evidence);PRKAB1(kinase;enzyme;known_drug_target;Alzheimer_evidence);NVL(Alzheimer_evidence);LCMT1(enzyme;Alzheimer_evidence);PRRX1(transcription_factor;Alzheimer_evidence);CKMT1B(kinase;enzyme;Alzheimer_evidence);NICN1(Alzheimer_evidence);NDUFA10(Alzheimer_evidence);ME3(enzyme;Alzheimer_evidence);COPG2(Alzheimer_evidence);NR2C1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CLNS1A(Alzheimer_evidence);HMGCS1(enzyme;known_drug_target;Alzheimer_evidence);WDFY1(transcription_factor;Alzheimer_evidence);GSTA4(enzyme;Alzheimer_evidence);LRBA(Alzheimer_evidence);ACTN2(Alzheimer_evidence);ICA1L(Alzheimer_evidence)	14
2044	233	QUAD;SMA;VH	251.0	CT	VH	0.6972111553784861	False	Cross tissue	175.0	65.0	11.0	0.6972111553784861	0.2589641434262948	0.043824701195219126	17	0.0729613733905579	1	0.0042918454935622	1	0.0042918454935622	0	0.0	5	0.0214592274678111	63	0.2703862660944206	23	0.0987124463519313	28	0.1201716738197424	65	0.278969957081545	197	0.8454935622317596	205	0.8798283261802575	400	CDKN1A(kinase;enzyme;Alzheimer_evidence);PTPN1(enzyme;receptor;known_drug_target;Alzheimer_evidence);PTGS2(enzyme;known_drug_target;Alzheimer_evidence);PDE4B(known_drug_target;Alzheimer_evidence);ELOVL7(Alzheimer_evidence);PECAM1(Alzheimer_evidence);GLIS3(transcription_factor;Alzheimer_evidence);JUN(transcription_factor;Alzheimer_evidence);B4GALT1(enzyme;Alzheimer_evidence);CDK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);ADORA2B(receptor;known_drug_target;Alzheimer_evidence);STAT3(transcription_factor;known_drug_target;Alzheimer_evidence);TFPI(enzyme;known_drug_target;Alzheimer_evidence);ITGB3(known_drug_target;Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);PPP1R3B(enzyme;Alzheimer_evidence);PLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEMA3F(Alzheimer_evidence);MAP3K8(kinase;enzyme;known_drug_target;Alzheimer_evidence);FAM20A(kinase;enzyme;Alzheimer_evidence);ZNF217(transcription_factor;Alzheimer_evidence);ANXA1(receptor;known_drug_target;Alzheimer_evidence);BCL6(transcription_factor;known_drug_target;Alzheimer_evidence);ADAMTS1(enzyme;known_drug_target;Alzheimer_evidence);CHD1(Alzheimer_evidence)	15
2048	249	QUAD;SMA;VH	277.0	CT	VH	0.5848375451263538	False	Cross tissue	162.0	102.0	13.0	0.5848375451263538	0.36823104693140796	0.04693140794223827	16	0.0642570281124498	2	0.0080321285140562	3	0.0120481927710843	2	0.0080321285140562	10	0.0401606425702811	52	0.2088353413654618	18	0.072289156626506	36	0.144578313253012	59	0.2369477911646586	198	0.7951807228915663	216	0.8674698795180723	396	FOXO3(transcription_factor;Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);ELMO2(Alzheimer_evidence);TFCP2L1(transcription_factor;Alzheimer_evidence);ZNF652(transcription_factor;Alzheimer_evidence);IGFBP3(enzyme;Alzheimer_evidence);CDYL(Alzheimer_evidence);ATOH8(transcription_factor;Alzheimer_evidence);IL6R(receptor;known_drug_target;Alzheimer_evidence);TCF7L2(transcription_factor;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);GMPR(enzyme;Alzheimer_evidence);DDR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);SEC14L1(Alzheimer_evidence);EPS15L1(receptor;Alzheimer_evidence);SERPINB6(enzyme;Alzheimer_evidence);GTF2IRD1(Alzheimer_evidence);FOXO1(transcription_factor;Alzheimer_evidence);RAB31(Alzheimer_evidence);IKZF2(transcription_factor;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);SEC24C(Alzheimer_evidence);NUP188(Alzheimer_evidence);SOX9(transcription_factor;Alzheimer_evidence)	16
423	222	QUAD;SMA;VH	222.0	TS	SMA	0.972972972972973	True	Tissue specific	3.0	216.0	3.0	0.013513513513513514	0.972972972972973	0.013513513513513514	13	0.0585585585585585	2	0.009009009009009	13	0.0585585585585585	0	0.0	7	0.0315315315315315	63	0.2837837837837837	19	0.0855855855855855	10	0.045045045045045	53	0.2387387387387387	194	0.8738738738738738	208	0.9369369369369368	374	APP(enzyme;receptor;known_drug_target;Alzheimer_evidence);GRIN2B(ion_channel;receptor;known_drug_target;Alzheimer_evidence);GRIN2A(ion_channel;receptor;known_drug_target;Alzheimer_evidence);CDK5R1(kinase;enzyme;Alzheimer_evidence);GSK3B(kinase;enzyme;known_drug_target;Alzheimer_evidence);ATP6V1B2(known_drug_target;Alzheimer_evidence);ATP1A1(enzyme;known_drug_target;Alzheimer_evidence);GOT1(enzyme;Alzheimer_evidence);STAT4(transcription_factor;Alzheimer_evidence);PTPRO(enzyme;receptor;known_drug_target;Alzheimer_evidence);KAT7(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);SLC7A14(transporter;enzyme;known_drug_target;Alzheimer_evidence);DOCK3(Alzheimer_evidence);SYBU(Alzheimer_evidence);CNTNAP5(Alzheimer_evidence);ZMAT4(transcription_factor;Alzheimer_evidence);PRICKLE1(Alzheimer_evidence);SEH1L(Alzheimer_evidence);CKAP5(Alzheimer_evidence);GPAT3(enzyme;Alzheimer_evidence);PRKCE(kinase;enzyme;known_drug_target;Alzheimer_evidence);TENM3(Alzheimer_evidence);FLT3(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);CACNB2(ion_channel;Alzheimer_evidence);PTGR1(enzyme;Alzheimer_evidence)	17
