cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	AC	MFBA9BA46	PCGBA23	frac_AC	frac_MFBA9BA46	frac_PCGBA23	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
589	1171	AC;MFBA9BA46;PCGBA23	1802	CT	PCGBA23	0.35405105438401774	False	Cross tissue	631.0	533.0	638.0	0.3501664816870144	0.2957824639289678	0.35405105438401774	39	0.0333048676345004	1	0.0008539709649871	7	0.0059777967549103	6	0.0051238257899231	21	0.0179333902647309	205	0.175064047822374	29	0.0247651579846285	149	0.1272416737830913	107	0.0913748932536293	534	0.4560204953031597	705	0.6020495303159693	1098	ADRA2C(known_drug_target;Alzheimer_evidence);PIKFYVE(kinase;enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);TARS2(enzyme;Alzheimer_evidence);MDN1(Alzheimer_evidence);TNPO3(Alzheimer_evidence);HEATR1(Alzheimer_evidence);SUPT6H(Alzheimer_evidence);NDUFB4(Alzheimer_evidence);SKP2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CREB1(Alzheimer_evidence);MINDY2(Alzheimer_evidence);GAK(kinase;enzyme;known_drug_target;Alzheimer_evidence);CDC5L(Alzheimer_evidence);VARS2(enzyme;Alzheimer_evidence);CXXC1(transcription_factor;Alzheimer_evidence);GNPAT(enzyme;Alzheimer_evidence);AP3M1(Alzheimer_evidence);XPO7(Alzheimer_evidence);PPP1R12A(enzyme;Alzheimer_evidence);HIC1(transcription_factor;Alzheimer_evidence);TPST2(enzyme;Alzheimer_evidence);SPEN(Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);PPP1CA(enzyme;known_drug_target;Alzheimer_evidence);NCOR2(nuclear_receptor;receptor;Alzheimer_evidence)	1
1567	782	AC;MFBA9BA46;PCGBA23	1042	CT	MFBA9BA46	0.4059500959692898	False	Cross tissue	231.0	423.0	388.0	0.22168905950095968	0.4059500959692898	0.3723608445297505	36	0.0460358056265984	3	0.0038363171355498	11	0.0140664961636828	3	0.0038363171355498	14	0.0179028132992327	161	0.2058823529411764	36	0.0460358056265984	87	0.1112531969309462	114	0.1457800511508951	431	0.551150895140665	522	0.6675191815856778	896	CDC25B(enzyme;Alzheimer_evidence);HTR1A(receptor;known_drug_target;Alzheimer_evidence);NEU1(enzyme;known_drug_target;Alzheimer_evidence);NOP16(Alzheimer_evidence);MT-ND1(enzyme;Alzheimer_evidence);RSL24D1(Alzheimer_evidence);TRAPPC5(Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);PANK1(kinase;enzyme;Alzheimer_evidence);PTGS2(enzyme;known_drug_target;Alzheimer_evidence);ESR2(receptor;known_drug_target;Alzheimer_evidence);HINFP(transcription_factor;Alzheimer_evidence);GAK(kinase;enzyme;known_drug_target;Alzheimer_evidence);KIT(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ZC3H8(transcription_factor;Alzheimer_evidence);TIMM44(Alzheimer_evidence);FAM20B(kinase;enzyme;Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence);EXOC2(Alzheimer_evidence);PPP1R12A(enzyme;Alzheimer_evidence);MAPK14(kinase;enzyme;known_drug_target;Alzheimer_evidence);MAST2(kinase;enzyme;known_drug_target;Alzheimer_evidence);HCN4(ion_channel;known_drug_target;Alzheimer_evidence);PTGFR(receptor;known_drug_target;Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence)	2
584	779	AC;MFBA9BA46;PCGBA23	1203	CT	AC	0.34663341645885287	False	Cross tissue	417.0	407.0	379.0	0.34663341645885287	0.33832086450540316	0.31504571903574397	37	0.0474967907573812	2	0.0025673940949935	6	0.0077021822849807	7	0.0089858793324775	9	0.0115532734274711	146	0.1874197689345314	33	0.042362002567394	84	0.1078305519897304	103	0.1322207958921694	442	0.5673940949935815	520	0.6675224646983312	869	CDC25B(enzyme;Alzheimer_evidence);PLK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);RIOK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);PI4KB(kinase;enzyme;known_drug_target;Alzheimer_evidence);NEU1(enzyme;known_drug_target;Alzheimer_evidence);XPO1(known_drug_target;Alzheimer_evidence);SNX3(Alzheimer_evidence);TNPO3(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);RSL24D1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);IPO7(Alzheimer_evidence);TRAPPC5(Alzheimer_evidence);PAPOLA(enzyme;Alzheimer_evidence);TSPAN14(Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);CLINT1(Alzheimer_evidence);TIMM44(Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence);MAPK14(kinase;enzyme;known_drug_target;Alzheimer_evidence);TPST2(enzyme;Alzheimer_evidence);ADORA2B(receptor;known_drug_target;Alzheimer_evidence);SPEN(Alzheimer_evidence);AKAP8L(kinase;enzyme;Alzheimer_evidence)	3
1572	998	AC;MFBA9BA46;PCGBA23	1357	CT	MFBA9BA46	0.3765659543109801	False	Cross tissue	394.0	511.0	452.0	0.290346352247605	0.3765659543109801	0.33308769344141487	25	0.0250501002004008	4	0.0040080160320641	13	0.0130260521042084	0	0.0	18	0.0180360721442885	134	0.1342685370741483	34	0.034068136272545	116	0.1162324649298597	105	0.1052104208416833	414	0.4148296593186373	542	0.5430861723446894	863	ADRA2A(known_drug_target;Alzheimer_evidence);IL34(known_drug_target;Alzheimer_evidence);RAP2B(Alzheimer_evidence);MTMR12(Alzheimer_evidence);RXRG(receptor;known_drug_target;Alzheimer_evidence);PDE9A(enzyme;known_drug_target;Alzheimer_evidence);SLC35C1(transporter;known_drug_target;Alzheimer_evidence);HINFP(transcription_factor;Alzheimer_evidence);DRD5(receptor;known_drug_target;Alzheimer_evidence);CDC5L(Alzheimer_evidence);SLC36A1(transporter;known_drug_target;Alzheimer_evidence);MRPL35(Alzheimer_evidence);SDK1(Alzheimer_evidence);TRRAP(kinase;enzyme;known_drug_target;Alzheimer_evidence);XPO7(Alzheimer_evidence);CCN3(known_drug_target;Alzheimer_evidence);PTGFR(receptor;known_drug_target;Alzheimer_evidence);RABEP1(Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);PPP1CA(enzyme;known_drug_target;Alzheimer_evidence);WNK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);WNT2(known_drug_target;Alzheimer_evidence);NUP88(Alzheimer_evidence);LRRN2(Alzheimer_evidence);SCLY(enzyme;Alzheimer_evidence)	4
36	493	AC;MFBA9BA46;PCGBA23	521	CT	AC	0.8656429942418427	False	Cross tissue	451.0	32.0	38.0	0.8656429942418427	0.061420345489443376	0.07293666026871401	21	0.0425963488843813	4	0.0081135902636916	7	0.0141987829614604	0	0.0	14	0.0283975659229208	101	0.204868154158215	71	0.1440162271805274	26	0.0527383367139959	160	0.3245436105476673	419	0.8498985801217038	446	0.9046653144016228	823	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);BIN1(Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);INPP5D(enzyme;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);PILRA(receptor;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);CSF1R(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TSPO(known_drug_target;Alzheimer_evidence);SCIMP(Alzheimer_evidence);LILRB2(receptor;Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);LRRC25(Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);IL6R(receptor;known_drug_target;Alzheimer_evidence);LIPG(known_drug_target;Alzheimer_evidence)	5
1263	461	AC;MFBA9BA46;PCGBA23	464	TS	MFBA9BA46	0.9547413793103449	True	Tissue specific	3.0	443.0	18.0	0.00646551724137931	0.9547413793103449	0.03879310344827586	40	0.0867678958785249	7	0.0151843817787418	38	0.0824295010845987	0	0.0	15	0.0325379609544468	90	0.1952277657266811	48	0.1041214750542299	22	0.0477223427331887	116	0.2516268980477223	359	0.7787418655097614	381	0.8264642082429501	735	GRIN1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);GRIN2B(ion_channel;receptor;known_drug_target;Alzheimer_evidence);CDK5R1(kinase;enzyme;Alzheimer_evidence);NISCH(Alzheimer_evidence);KHDRBS2(Alzheimer_evidence);HCN4(ion_channel;known_drug_target;Alzheimer_evidence);CDKL1(kinase;enzyme;known_drug_target;Alzheimer_evidence);PTPRN2(enzyme;receptor;known_drug_target;Alzheimer_evidence);NEURL1(enzyme;Alzheimer_evidence);SLC25A6(transporter;known_drug_target;Alzheimer_evidence);GABRA4(ion_channel;receptor;known_drug_target;Alzheimer_evidence);CDK5R2(kinase;enzyme;Alzheimer_evidence);CHRM1(receptor;known_drug_target;Alzheimer_evidence);GRIA4(ion_channel;receptor;known_drug_target;Alzheimer_evidence);CACNA1C(ion_channel;known_drug_target;Alzheimer_evidence);SORCS1(receptor;Alzheimer_evidence);DLG2(enzyme;Alzheimer_evidence);RAP1GAP2(Alzheimer_evidence);TENM2(Alzheimer_evidence);DLGAP2(Alzheimer_evidence);TMEM59L(Alzheimer_evidence);CACNB2(ion_channel;Alzheimer_evidence);WNK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CELF5(Alzheimer_evidence);SHANK2(Alzheimer_evidence)	6
1643	754	AC;MFBA9BA46;PCGBA23	1039	CT	MFBA9BA46	0.3811357074109721	False	Cross tissue	289.0	396.0	354.0	0.2781520692974013	0.3811357074109721	0.34071222329162654	24	0.0318302387267904	2	0.0026525198938992	5	0.006631299734748	2	0.0026525198938992	10	0.013262599469496	134	0.1777188328912466	24	0.0318302387267904	66	0.0875331564986737	73	0.0968169761273209	377	0.5	456	0.6047745358090185	717	ACE(enzyme;known_drug_target;Alzheimer_evidence);HMGCR(enzyme;known_drug_target;Alzheimer_evidence);WDHD1(Alzheimer_evidence);DIMT1(enzyme;Alzheimer_evidence);TTN(kinase;enzyme;known_drug_target;Alzheimer_evidence);AP3D1(Alzheimer_evidence);DLD(enzyme;Alzheimer_evidence);FBXL22(Alzheimer_evidence);MRPS27(Alzheimer_evidence);ULK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);TRAPPC11(Alzheimer_evidence);GNG4(Alzheimer_evidence);ARPC4(Alzheimer_evidence);FECH(enzyme;Alzheimer_evidence);PSME4(Alzheimer_evidence);PANK3(kinase;enzyme;Alzheimer_evidence);NDUFS6(enzyme;Alzheimer_evidence);CEP68(Alzheimer_evidence);GRIK1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);OLFM4(Alzheimer_evidence);KIF12(Alzheimer_evidence);LGMN(enzyme;known_drug_target;Alzheimer_evidence);ST3GAL3(enzyme;Alzheimer_evidence);NUP155(Alzheimer_evidence);PLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence)	7
1269	458	AC;MFBA9BA46;PCGBA23	461	TS	MFBA9BA46	0.9631236442516269	True	Tissue specific	2.0	444.0	15.0	0.004338394793926247	0.9631236442516269	0.03253796095444685	26	0.056768558951965	4	0.0087336244541484	24	0.0524017467248908	0	0.0	18	0.0393013100436681	104	0.2270742358078602	22	0.0480349344978165	20	0.0436681222707423	101	0.2205240174672489	386	0.8427947598253275	404	0.8820960698689956	705	CDK5(kinase;enzyme;known_drug_target;Alzheimer_evidence);GRIN2A(ion_channel;receptor;known_drug_target;Alzheimer_evidence);NAGPA(enzyme;Alzheimer_evidence);PTK2B(kinase;enzyme;known_drug_target;Alzheimer_evidence);HTR2A(receptor;known_drug_target;Alzheimer_evidence);CNTNAP2(Alzheimer_evidence);BRSK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);STAT4(transcription_factor;Alzheimer_evidence);MAPT(enzyme;known_drug_target;Alzheimer_evidence);SLC7A14(transporter;enzyme;known_drug_target;Alzheimer_evidence);CAMK1G(kinase;enzyme;known_drug_target;Alzheimer_evidence);DOCK3(Alzheimer_evidence);EPB41L1(Alzheimer_evidence);GRIA1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);SYBU(Alzheimer_evidence);PPP3R1(enzyme;Alzheimer_evidence);CKMT1B(kinase;enzyme;Alzheimer_evidence);RYR2(receptor;known_drug_target;Alzheimer_evidence);DYNLRB1(Alzheimer_evidence);RPH3A(Alzheimer_evidence);NEGR1(Alzheimer_evidence);DIRAS2(Alzheimer_evidence);PHOSPHO1(enzyme;Alzheimer_evidence);ZMAT4(transcription_factor;Alzheimer_evidence);CAMK1D(kinase;enzyme;known_drug_target;Alzheimer_evidence)	8
1313	621	AC;MFBA9BA46;PCGBA23	739	CT	MFBA9BA46	0.42219215155615697	False	Cross tissue	128.0	312.0	299.0	0.17320703653585928	0.42219215155615697	0.40460081190798375	22	0.0354267310789049	2	0.003220611916264	11	0.0177133655394524	0	0.0	13	0.0209339774557165	107	0.1723027375201288	38	0.0611916264090177	58	0.0933977455716586	90	0.144927536231884	345	0.5555555555555556	411	0.6618357487922706	686	SORL1(receptor;Alzheimer_evidence);HMGCR(enzyme;known_drug_target;Alzheimer_evidence);OGG1(enzyme;known_drug_target;Alzheimer_evidence);SQLE(enzyme;known_drug_target;Alzheimer_evidence);MTMR9(Alzheimer_evidence);RAD51C(Alzheimer_evidence);ZNF827(transcription_factor;Alzheimer_evidence);KAT7(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);GRIK5(ion_channel;receptor;known_drug_target;Alzheimer_evidence);HES4(transcription_factor;Alzheimer_evidence);MINK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);ANO5(Alzheimer_evidence);ADAMTS8(enzyme;known_drug_target;Alzheimer_evidence);SLX4IP(Alzheimer_evidence);FOXO1(transcription_factor;Alzheimer_evidence);ST3GAL3(enzyme;Alzheimer_evidence);PARP8(Alzheimer_evidence);PLCH1(enzyme;known_drug_target;Alzheimer_evidence);KIF3B(Alzheimer_evidence);DNAH6(Alzheimer_evidence);AP4S1(Alzheimer_evidence);COLQ(Alzheimer_evidence);TENM3(Alzheimer_evidence);CACNA1D(ion_channel;known_drug_target;Alzheimer_evidence);DAB1(Alzheimer_evidence)	9
661	605	AC;MFBA9BA46;PCGBA23	863	CT	MFBA9BA46	0.3719582850521437	False	Cross tissue	295.0	321.0	247.0	0.34183082271147164	0.3719582850521437	0.2862108922363847	21	0.0347107438016528	3	0.0049586776859504	5	0.0082644628099173	4	0.0066115702479338	11	0.0181818181818181	95	0.1570247933884297	26	0.0429752066115702	101	0.1669421487603306	72	0.1190082644628099	342	0.5652892561983471	430	0.7107438016528925	680	MTOR(kinase;enzyme;known_drug_target;Alzheimer_evidence);MED1(Alzheimer_evidence);PAF1(Alzheimer_evidence);SMG8(Alzheimer_evidence);GGPS1(enzyme;known_drug_target;Alzheimer_evidence);RANBP3(Alzheimer_evidence);EPM2A(enzyme;Alzheimer_evidence);COX7C(enzyme;Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);PFKP(enzyme;Alzheimer_evidence);CDC25A(enzyme;Alzheimer_evidence);ABHD6(enzyme;known_drug_target;Alzheimer_evidence);TRRAP(kinase;enzyme;known_drug_target;Alzheimer_evidence);RAB9A(Alzheimer_evidence);PURA(Alzheimer_evidence);TRAPPC3(Alzheimer_evidence);ARHGEF10L(Alzheimer_evidence);PTPN21(enzyme;receptor;Alzheimer_evidence);MRPL34(Alzheimer_evidence);SAP30L(Alzheimer_evidence);MRPL36(Alzheimer_evidence);GALM(enzyme;Alzheimer_evidence);AUTS2(Alzheimer_evidence);ZNF813(transcription_factor;Alzheimer_evidence);MAPKAP1(kinase;enzyme;Alzheimer_evidence)	10
1312	650	AC;MFBA9BA46;PCGBA23	718	CT	MFBA9BA46	0.575208913649025	False	Cross tissue	94.0	413.0	211.0	0.1309192200557103	0.575208913649025	0.2938718662952646	31	0.0476923076923076	3	0.0046153846153846	9	0.0138461538461538	0	0.0	18	0.0276923076923076	127	0.1953846153846153	26	0.04	49	0.0753846153846153	73	0.1123076923076923	344	0.5292307692307693	415	0.6384615384615384	680	NOC4L(Alzheimer_evidence);NUP93(Alzheimer_evidence);LAMTOR3(Alzheimer_evidence);SNRK(kinase;enzyme;known_drug_target;Alzheimer_evidence);HTR6(receptor;known_drug_target;Alzheimer_evidence);PTPRO(enzyme;receptor;known_drug_target;Alzheimer_evidence);RAD51C(Alzheimer_evidence);CHRNA7(ion_channel;receptor;known_drug_target;Alzheimer_evidence);HTR2C(receptor;known_drug_target;Alzheimer_evidence);NME9(Alzheimer_evidence);SLIT3(Alzheimer_evidence);RPS6KC1(kinase;enzyme;known_drug_target;Alzheimer_evidence);ACTR2(Alzheimer_evidence);CAND2(Alzheimer_evidence);ANO5(Alzheimer_evidence);TACC2(Alzheimer_evidence);NICN1(Alzheimer_evidence);DENND1A(Alzheimer_evidence);ULK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);BZW2(Alzheimer_evidence);RHOV(Alzheimer_evidence);CERKL(Alzheimer_evidence);PBX2(transcription_factor;Alzheimer_evidence);KIF3B(Alzheimer_evidence);STK25(kinase;enzyme;known_drug_target;Alzheimer_evidence)	11
1639	557	AC;MFBA9BA46;PCGBA23	713	CT	MFBA9BA46	0.47545582047685836	False	Cross tissue	131.0	339.0	243.0	0.18373071528751753	0.47545582047685836	0.34081346423562414	18	0.0323159784560143	0	0.0	6	0.0107719928186714	1	0.0017953321364452	16	0.0287253141831238	147	0.2639138240574506	7	0.0125673249551166	24	0.0430879712746858	57	0.1023339317773788	390	0.7001795332136446	423	0.7594254937163375	666	PSEN2(enzyme;known_drug_target;Alzheimer_evidence);NDUFS1(enzyme;Alzheimer_evidence);UQCRC1(enzyme;Alzheimer_evidence);NDUFA9(enzyme;Alzheimer_evidence);TARS2(enzyme;Alzheimer_evidence);NDUFB9(Alzheimer_evidence);NDUFA5(Alzheimer_evidence);NDUFC2(Alzheimer_evidence);COPG1(Alzheimer_evidence);NUP93(Alzheimer_evidence);PRDX2(Alzheimer_evidence);GBF1(Alzheimer_evidence);NDUFV1(enzyme;Alzheimer_evidence);AP3D1(Alzheimer_evidence);EMC4(Alzheimer_evidence);CAPNS1(enzyme;Alzheimer_evidence);KAT7(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);PPP2R1A(enzyme;Alzheimer_evidence);DNPEP(enzyme;known_drug_target;Alzheimer_evidence);NDUFS4(Alzheimer_evidence);ARL1(Alzheimer_evidence);MORN3(Alzheimer_evidence);EPS15L1(receptor;Alzheimer_evidence);APOC1(Alzheimer_evidence);SH3GLB2(Alzheimer_evidence)	12
1541	552	AC;MFBA9BA46;PCGBA23	636	CT	PCGBA23	0.4811320754716981	False	Cross tissue	103.0	227.0	306.0	0.1619496855345912	0.35691823899371067	0.4811320754716981	35	0.0634057971014492	2	0.0036231884057971	8	0.0144927536231884	1	0.0018115942028985	18	0.0326086956521739	134	0.2427536231884058	22	0.0398550724637681	41	0.0742753623188405	82	0.1485507246376811	307	0.5561594202898551	367	0.6648550724637681	650	ADAM10(enzyme;known_drug_target;Alzheimer_evidence);AURKA(kinase;enzyme;known_drug_target;Alzheimer_evidence);BMS1(Alzheimer_evidence);PIK3R1(kinase;enzyme;known_drug_target;Alzheimer_evidence);QPCT(enzyme;known_drug_target;Alzheimer_evidence);UQCRB(enzyme;Alzheimer_evidence);PFKP(enzyme;Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);SLC35C1(transporter;known_drug_target;Alzheimer_evidence);MAP2K7(kinase;enzyme;known_drug_target;Alzheimer_evidence);PHKG2(kinase;enzyme;known_drug_target;Alzheimer_evidence);WIPF2(Alzheimer_evidence);COX7A1(enzyme;Alzheimer_evidence);MAP4K2(kinase;enzyme;known_drug_target;Alzheimer_evidence);PTPRD(enzyme;receptor;known_drug_target;Alzheimer_evidence);DHX30(Alzheimer_evidence);RGMB(receptor;Alzheimer_evidence);FBXO11(enzyme;known_drug_target;Alzheimer_evidence);E2F1(transcription_factor;Alzheimer_evidence);MIB1(enzyme;transcription_factor;Alzheimer_evidence);CERKL(Alzheimer_evidence);RIF1(Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);MTMR2(enzyme;Alzheimer_evidence);NSUN4(Alzheimer_evidence)	13
1547	627	AC;MFBA9BA46;PCGBA23	848	CT	MFBA9BA46	0.3384433962264151	False	Cross tissue	280.0	287.0	281.0	0.330188679245283	0.3384433962264151	0.3313679245283019	24	0.0382775119617224	2	0.0031897926634768	5	0.0079744816586921	2	0.0031897926634768	16	0.0255183413078149	110	0.175438596491228	17	0.0271132376395534	81	0.1291866028708134	82	0.1307814992025518	306	0.4880382775119617	395	0.6299840510366826	645	MTOR(kinase;enzyme;known_drug_target;Alzheimer_evidence);NDUFS8(enzyme;Alzheimer_evidence);PPP1R10(enzyme;transcription_factor;Alzheimer_evidence);COPA(receptor;known_drug_target;Alzheimer_evidence);LTV1(Alzheimer_evidence);SMG8(Alzheimer_evidence);TTN(kinase;enzyme;known_drug_target;Alzheimer_evidence);PFKP(enzyme;Alzheimer_evidence);PTPRS(enzyme;receptor;known_drug_target;Alzheimer_evidence);NDUFB10(Alzheimer_evidence);CYB5R4(enzyme;Alzheimer_evidence);PICK1(Alzheimer_evidence);MAP2K7(kinase;enzyme;known_drug_target;Alzheimer_evidence);CCN3(known_drug_target;Alzheimer_evidence);CTCF(transcription_factor;Alzheimer_evidence);RABEP1(Alzheimer_evidence);TRAPPC3(Alzheimer_evidence);ARHGEF10L(Alzheimer_evidence);MRPS15(Alzheimer_evidence);FBXO11(enzyme;known_drug_target;Alzheimer_evidence);B3GNT2(enzyme;Alzheimer_evidence);CMPK1(kinase;enzyme;Alzheimer_evidence);INPP4B(enzyme;known_drug_target;Alzheimer_evidence);FOXM1(transcription_factor;Alzheimer_evidence);SEMA3C(Alzheimer_evidence)	14
1831	471	AC;MFBA9BA46;PCGBA23	604	CT	AC	0.41721854304635764	False	Cross tissue	252.0	176.0	176.0	0.41721854304635764	0.2913907284768212	0.2913907284768212	15	0.0318471337579617	3	0.0063694267515923	7	0.0148619957537154	0	0.0	20	0.0424628450106157	112	0.2377919320594479	38	0.0806794055201698	33	0.0700636942675159	102	0.2165605095541401	312	0.6624203821656051	355	0.7537154989384289	642	APOE(Alzheimer_evidence);BCHE(enzyme;known_drug_target;Alzheimer_evidence);PPT1(enzyme;known_drug_target;Alzheimer_evidence);NDUFA6(Alzheimer_evidence);PLRG1(Alzheimer_evidence);PDGFRA(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);PTPRA(enzyme;receptor;known_drug_target;Alzheimer_evidence);FGFR3(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);CYSLTR1(receptor;known_drug_target;Alzheimer_evidence);S100A13(Alzheimer_evidence);PIK3C2A(kinase;enzyme;known_drug_target;Alzheimer_evidence);DIO2(enzyme;known_drug_target;Alzheimer_evidence);SLC6A1(transporter;known_drug_target;Alzheimer_evidence);PTGDS(enzyme;known_drug_target;Alzheimer_evidence);CUX1(transcription_factor;Alzheimer_evidence);PDE3A(enzyme;known_drug_target;Alzheimer_evidence);ALDH5A1(enzyme;known_drug_target;Alzheimer_evidence);ZNF619(transcription_factor;Alzheimer_evidence);FOXRED2(transcription_factor;Alzheimer_evidence);ROBO1(receptor;Alzheimer_evidence);POFUT3(enzyme;Alzheimer_evidence);PCDH17(Alzheimer_evidence);SLC25A29(transporter;known_drug_target;Alzheimer_evidence);SGK3(kinase;enzyme;known_drug_target;Alzheimer_evidence)	15
637	465	AC;MFBA9BA46;PCGBA23	662	CT	MFBA9BA46	0.38972809667673713	False	Cross tissue	200.0	258.0	204.0	0.3021148036253776	0.38972809667673713	0.3081570996978852	34	0.0731182795698924	1	0.0021505376344086	2	0.0043010752688172	4	0.0086021505376344	4	0.0086021505376344	104	0.2236559139784946	28	0.0602150537634408	55	0.1182795698924731	71	0.1526881720430107	315	0.6774193548387096	358	0.7698924731182796	618	ADRA2B(known_drug_target;Alzheimer_evidence);NCK2(Alzheimer_evidence);COPB2(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);BLOC1S5(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);DHX15(Alzheimer_evidence);SQLE(enzyme;known_drug_target;Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);PPP3CC(enzyme;Alzheimer_evidence);CDYL(Alzheimer_evidence);S100A4(Alzheimer_evidence);PPP1CB(enzyme;Alzheimer_evidence);NCOR2(nuclear_receptor;receptor;Alzheimer_evidence);SMARCC1(Alzheimer_evidence);HIPK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);NR2F2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);PRKD2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SYNE2(Alzheimer_evidence);STAG1(Alzheimer_evidence);ZNF800(transcription_factor;Alzheimer_evidence);RIF1(Alzheimer_evidence);FOXM1(transcription_factor;Alzheimer_evidence);PKN3(kinase;enzyme;known_drug_target;Alzheimer_evidence)	16
1535	563	AC;MFBA9BA46;PCGBA23	678	CT	MFBA9BA46	0.35693215339233036	False	Cross tissue	210.0	242.0	226.0	0.30973451327433627	0.35693215339233036	0.3333333333333333	25	0.0444049733570159	3	0.0053285968028419	7	0.0124333925399644	2	0.0035523978685612	13	0.0230905861456483	88	0.1563055062166962	31	0.0550621669626998	57	0.1012433392539964	87	0.1545293072824156	284	0.5044404973357016	346	0.6145648312611013	597	HTR1A(receptor;known_drug_target;Alzheimer_evidence);DSTYK(kinase;enzyme;known_drug_target;Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);MOB3B(kinase;enzyme;Alzheimer_evidence);ULK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);HTR1B(receptor;known_drug_target;Alzheimer_evidence);HINFP(transcription_factor;Alzheimer_evidence);CLINT1(Alzheimer_evidence);ZC3H8(transcription_factor;Alzheimer_evidence);CCDC6(Alzheimer_evidence);WIPF2(Alzheimer_evidence);ZNF462(transcription_factor;Alzheimer_evidence);TANK(transcription_factor;Alzheimer_evidence);ARHGEF17(Alzheimer_evidence);MRPL45(Alzheimer_evidence);ZFTA(transcription_factor;Alzheimer_evidence);ST3GAL4(enzyme;Alzheimer_evidence);KCND3(ion_channel;known_drug_target;Alzheimer_evidence);MAPKAP1(kinase;enzyme;Alzheimer_evidence);UBA1(enzyme;Alzheimer_evidence);RSAD1(Alzheimer_evidence);FNIP2(Alzheimer_evidence);TSEN2(Alzheimer_evidence);KLHDC10(Alzheimer_evidence);MAN1A1(enzyme;Alzheimer_evidence)	17
