Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selection_rank	selected_by	cluster_id	therapeutic_selection_score	target_category_score	n_any_therapeutic_category	n_Alzheimer_evidence	n_known_drug_target	n_kinase	n_GPCR	n_ion_channel	representative_target_genes	representative_ad_genes
ME_M10	-0.09624278896341773	0.3217595683272272	0.03902670536715144	0.6884121103484493	-0.05848870161145892	0.5476570694190599	-0.2292604236692191	0.01700028369125156	-0.023145061511977753	0.8120645111172319	0.2292604236692191	10	CT	1	therapeutic_targets	10	1585.9166666666667	500	263	238	100	18	3	4	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);PLCG2(enzyme;known_drug_target;Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CDK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);AURKA(kinase;enzyme;known_drug_target;Alzheimer_evidence);INPP5D(enzyme;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);CSF1R(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);SCIMP(Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);PIK3R6(kinase;enzyme;known_drug_target;Alzheimer_evidence);NFATC2(Alzheimer_evidence);TLR5(receptor;known_drug_target;Alzheimer_evidence);ARHGAP15(Alzheimer_evidence);FBP1(enzyme;Alzheimer_evidence);APOC1(Alzheimer_evidence);PIK3CG(kinase;enzyme;known_drug_target;Alzheimer_evidence);MS4A4A(Alzheimer_evidence)	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);PLCG2(enzyme;known_drug_target;Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CDK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);AURKA(kinase;enzyme;known_drug_target;Alzheimer_evidence);INPP5D(enzyme;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);CSF1R(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);SCIMP(Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);PIK3R6(kinase;enzyme;known_drug_target;Alzheimer_evidence);NFATC2(Alzheimer_evidence);TLR5(receptor;known_drug_target;Alzheimer_evidence)
ME_M11	-0.10250893728931401	0.29110895047189805	0.09380557544007544	0.33422241087345494	-0.08673422511938772	0.372090920117757	-0.1338601976779865	0.1672318684662721	-0.10980909746428877	0.25792220900011725	0.1338601976779865	11	CT	2	therapeutic_targets	11	2250.935096153846	705	365	342	144	24	4	5	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);CLU(known_drug_target;Alzheimer_evidence);PLCG2(enzyme;known_drug_target;Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);TSPO(known_drug_target;Alzheimer_evidence);USP6NL(Alzheimer_evidence);SCIMP(Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);LRRC25(Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);IL6R(receptor;known_drug_target;Alzheimer_evidence);LIPG(known_drug_target;Alzheimer_evidence);ITPKB(kinase;enzyme;known_drug_target;Alzheimer_evidence);GPX1(enzyme;Alzheimer_evidence);TLR5(receptor;known_drug_target;Alzheimer_evidence)	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);CLU(known_drug_target;Alzheimer_evidence);PLCG2(enzyme;known_drug_target;Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);TSPO(known_drug_target;Alzheimer_evidence);USP6NL(Alzheimer_evidence);SCIMP(Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);LRRC25(Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence)
ME_M28	-0.04230352470878239	0.6637727990717402	-0.052444051868757766	0.5898565906355088	0.07203164958679197	0.45879809870265165	-0.1034125142253236	0.28685441323013	-0.08840574867892764	0.3629111356567235	0.1034125142253236	28	CT	3	therapeutic_targets	28	1723.529262086514	559	307	278	83	26	3	2	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);NR1H2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);COPB2(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);RSL24D1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);DHX15(Alzheimer_evidence);IPO7(Alzheimer_evidence);CALR(Alzheimer_evidence);TSPAN14(Alzheimer_evidence);CLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);RELA(transcription_factor;known_drug_target;Alzheimer_evidence);JUN(transcription_factor;Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);MPRIP(enzyme;Alzheimer_evidence);ADORA2B(receptor;known_drug_target;Alzheimer_evidence);PANK3(kinase;enzyme;Alzheimer_evidence);SLC22A23(transporter;known_drug_target;Alzheimer_evidence);PRKD2(kinase;enzyme;known_drug_target;Alzheimer_evidence);MAP3K11(kinase;enzyme;known_drug_target;Alzheimer_evidence);CREM(Alzheimer_evidence);PIK3CG(kinase;enzyme;known_drug_target;Alzheimer_evidence)	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);NR1H2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);COPB2(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);RSL24D1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);DHX15(Alzheimer_evidence);IPO7(Alzheimer_evidence);CALR(Alzheimer_evidence);TSPAN14(Alzheimer_evidence);CLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);RELA(transcription_factor;known_drug_target;Alzheimer_evidence);JUN(transcription_factor;Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);MPRIP(enzyme;Alzheimer_evidence);ADORA2B(receptor;known_drug_target;Alzheimer_evidence);PANK3(kinase;enzyme;Alzheimer_evidence)
ME_M31	-0.10341799508842178	0.2868287332429859	-0.07748117511459886	0.42542917984904144	0.04628534966653032	0.6343099274661999	-0.0864031693699698	0.3739257253595876	-0.1424415348703127	0.1414045678793164	0.1424415348703127	31	CT	4	therapeutic_targets	31	1907.888888888889	608	358	324	90	13	2	4	CDKN2B(kinase;enzyme;Alzheimer_evidence);HEATR1(Alzheimer_evidence);SQLE(enzyme;known_drug_target;Alzheimer_evidence);ADRA1B(known_drug_target;Alzheimer_evidence);NOX4(enzyme;known_drug_target;Alzheimer_evidence);CDC25A(enzyme;Alzheimer_evidence);LMNB1(Alzheimer_evidence);ATF5(transcription_factor;Alzheimer_evidence);DNPEP(enzyme;known_drug_target;Alzheimer_evidence);PNO1(Alzheimer_evidence);MTHFD1L(enzyme;Alzheimer_evidence);PPP4R1(enzyme;Alzheimer_evidence);LIPG(known_drug_target;Alzheimer_evidence);PTGFR(receptor;known_drug_target;Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);NUP88(Alzheimer_evidence);CNOT12(Alzheimer_evidence);CALU(Alzheimer_evidence);TNIP1(Alzheimer_evidence);ARPC2(Alzheimer_evidence);SEC24C(Alzheimer_evidence);PLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);EPRS1(enzyme;Alzheimer_evidence);SPRY4(Alzheimer_evidence);EEA1(transcription_factor;Alzheimer_evidence)	CDKN2B(kinase;enzyme;Alzheimer_evidence);HEATR1(Alzheimer_evidence);SQLE(enzyme;known_drug_target;Alzheimer_evidence);ADRA1B(known_drug_target;Alzheimer_evidence);NOX4(enzyme;known_drug_target;Alzheimer_evidence);CDC25A(enzyme;Alzheimer_evidence);LMNB1(Alzheimer_evidence);ATF5(transcription_factor;Alzheimer_evidence);DNPEP(enzyme;known_drug_target;Alzheimer_evidence);PNO1(Alzheimer_evidence);MTHFD1L(enzyme;Alzheimer_evidence);PPP4R1(enzyme;Alzheimer_evidence);LIPG(known_drug_target;Alzheimer_evidence);PTGFR(receptor;known_drug_target;Alzheimer_evidence);AOPEP(enzyme;known_drug_target;Alzheimer_evidence);NUP88(Alzheimer_evidence);CNOT12(Alzheimer_evidence);CALU(Alzheimer_evidence);TNIP1(Alzheimer_evidence);ARPC2(Alzheimer_evidence)
ME_M34	-0.07456180971248871	0.44312851758439503	-0.03899081841900651	0.6886838258571825	0.1408619447361613	0.1459165919534294	0.0015422301960783692	0.9873613691921116	-0.10206584005771548	0.29321050360494333	0.1408619447361613	34	CT	5	therapeutic_targets	34	1882.3368869936037	611	344	301	98	23	2	3	ADAM10(enzyme;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);CLK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);HEATR1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);CTSL(enzyme;known_drug_target;Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence);HIC1(transcription_factor;Alzheimer_evidence);HES4(transcription_factor;Alzheimer_evidence);PPP4R1(enzyme;Alzheimer_evidence);VEGFC(known_drug_target;Alzheimer_evidence);CHRNA2(ion_channel;receptor;known_drug_target;Alzheimer_evidence);PPP1CA(enzyme;known_drug_target;Alzheimer_evidence);NCOR2(nuclear_receptor;receptor;Alzheimer_evidence);WNT2(known_drug_target;Alzheimer_evidence);CEP170(Alzheimer_evidence);CSNK2A2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CORO1C(Alzheimer_evidence);CCRL2(receptor;known_drug_target;Alzheimer_evidence);ATP10D(enzyme;known_drug_target;Alzheimer_evidence);SYNE2(Alzheimer_evidence);MAP3K11(kinase;enzyme;known_drug_target;Alzheimer_evidence);CREM(Alzheimer_evidence);ZNF800(transcription_factor;Alzheimer_evidence)	ADAM10(enzyme;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);CLK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);HEATR1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);CTSL(enzyme;known_drug_target;Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence);HIC1(transcription_factor;Alzheimer_evidence);HES4(transcription_factor;Alzheimer_evidence);PPP4R1(enzyme;Alzheimer_evidence);VEGFC(known_drug_target;Alzheimer_evidence);CHRNA2(ion_channel;receptor;known_drug_target;Alzheimer_evidence);PPP1CA(enzyme;known_drug_target;Alzheimer_evidence);NCOR2(nuclear_receptor;receptor;Alzheimer_evidence);WNT2(known_drug_target;Alzheimer_evidence);CEP170(Alzheimer_evidence);CSNK2A2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CORO1C(Alzheimer_evidence);CCRL2(receptor;known_drug_target;Alzheimer_evidence)
ME_M35	-0.039693247627726094	0.6833726696043242	-0.11196283430474223	0.24864611965573793	0.061684602241749376	0.5259566878394171	-0.05995581350332958	0.5376413020166001	-0.09695761336188514	0.31816174181710705	0.11196283430474223	35	CT	6	therapeutic_targets	35	1391.1440443213296	455	262	223	67	20	1	3	PI4KB(kinase;enzyme;known_drug_target;Alzheimer_evidence);HEATR1(Alzheimer_evidence);COPB2(Alzheimer_evidence);NUP205(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);DHX15(Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);ESR2(receptor;known_drug_target;Alzheimer_evidence);SLC35C1(transporter;known_drug_target;Alzheimer_evidence);CDYL(Alzheimer_evidence);MTFR1(Alzheimer_evidence);PPP1CB(enzyme;Alzheimer_evidence);CMPK1(kinase;enzyme;Alzheimer_evidence);FOXM1(transcription_factor;Alzheimer_evidence);NSUN4(Alzheimer_evidence);GATAD2A(transcription_factor;Alzheimer_evidence);SLC39A7(transporter;known_drug_target;Alzheimer_evidence);IVNS1ABP(Alzheimer_evidence);PMFBP1(Alzheimer_evidence);ABL2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NFAT5(Alzheimer_evidence);SMPD2(enzyme;known_drug_target;Alzheimer_evidence);CHD1(Alzheimer_evidence);CAPZA2(Alzheimer_evidence);CKS1B(kinase;enzyme;Alzheimer_evidence)	PI4KB(kinase;enzyme;known_drug_target;Alzheimer_evidence);HEATR1(Alzheimer_evidence);COPB2(Alzheimer_evidence);NUP205(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);DHX15(Alzheimer_evidence);PPARG(receptor;known_drug_target;Alzheimer_evidence);ESR2(receptor;known_drug_target;Alzheimer_evidence);SLC35C1(transporter;known_drug_target;Alzheimer_evidence);CDYL(Alzheimer_evidence);MTFR1(Alzheimer_evidence);PPP1CB(enzyme;Alzheimer_evidence);CMPK1(kinase;enzyme;Alzheimer_evidence);FOXM1(transcription_factor;Alzheimer_evidence);NSUN4(Alzheimer_evidence);GATAD2A(transcription_factor;Alzheimer_evidence);SLC39A7(transporter;known_drug_target;Alzheimer_evidence);IVNS1ABP(Alzheimer_evidence);PMFBP1(Alzheimer_evidence);ABL2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence)
ME_M86	-0.019931744595889127	0.837769941340359	0.049075809432654	0.6139941701180948	-0.027952432732263575	0.7739851232963798	-0.0228631170974111	0.8143124168734251	-0.06984313310789336	0.4725951245743825	0.06984313310789336	86	CT	7	therapeutic_targets	86	1538.8966565349544	475	275	265	72	13	2	1	CDKN2B(kinase;enzyme;Alzheimer_evidence);COPB1(Alzheimer_evidence);COPB2(Alzheimer_evidence);SEC13(Alzheimer_evidence);NUP205(Alzheimer_evidence);DIMT1(enzyme;Alzheimer_evidence);RIPK1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NECTIN2(Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);LMNA(Alzheimer_evidence);CAPN1(enzyme;known_drug_target;Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);ABCC9(transporter;known_drug_target;Alzheimer_evidence);SPPL2A(enzyme;Alzheimer_evidence);MVP(Alzheimer_evidence);ECE1(enzyme;known_drug_target;Alzheimer_evidence);RRM2B(enzyme;known_drug_target;Alzheimer_evidence);STAT3(transcription_factor;known_drug_target;Alzheimer_evidence);TFPI(enzyme;known_drug_target;Alzheimer_evidence);GSTO1(enzyme;known_drug_target;Alzheimer_evidence);ANXA2(Alzheimer_evidence);TAF1(transcription_factor;known_drug_target;Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);MACF1(Alzheimer_evidence);VCP(Alzheimer_evidence)	CDKN2B(kinase;enzyme;Alzheimer_evidence);COPB1(Alzheimer_evidence);COPB2(Alzheimer_evidence);SEC13(Alzheimer_evidence);NUP205(Alzheimer_evidence);DIMT1(enzyme;Alzheimer_evidence);RIPK1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NECTIN2(Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);LMNA(Alzheimer_evidence);CAPN1(enzyme;known_drug_target;Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);ABCC9(transporter;known_drug_target;Alzheimer_evidence);SPPL2A(enzyme;Alzheimer_evidence);MVP(Alzheimer_evidence);ECE1(enzyme;known_drug_target;Alzheimer_evidence);RRM2B(enzyme;known_drug_target;Alzheimer_evidence);STAT3(transcription_factor;known_drug_target;Alzheimer_evidence);TFPI(enzyme;known_drug_target;Alzheimer_evidence);GSTO1(enzyme;known_drug_target;Alzheimer_evidence)
ME_M119	0.17506613394536855	0.06995644281353791	0.09934386346012056	0.3063402570650477	0.039937532954356245	0.6815291953892206	-0.053530734288804574	0.5821621996202432	0.18024283049259618	0.06194892653469651	0.18024283049259618	119	CT	8	therapeutic_targets	119	1973.379310344828	653	372	332	83	19	5	3	SORL1(receptor;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);FADS2(enzyme;Alzheimer_evidence);GM2A(Alzheimer_evidence);BMP2K(kinase;enzyme;known_drug_target;Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);PRDX1(Alzheimer_evidence);ACP5(enzyme;Alzheimer_evidence);NFIB(Alzheimer_evidence);NME4(kinase;enzyme;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);WWOX(enzyme;Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);SH3BGRL(Alzheimer_evidence);TP53INP1(Alzheimer_evidence);HNF4G(known_drug_target;Alzheimer_evidence);ADH5(enzyme;Alzheimer_evidence);ALDH9A1(enzyme;known_drug_target;Alzheimer_evidence);DIAPH3(Alzheimer_evidence);NFIA(Alzheimer_evidence);RAB31(Alzheimer_evidence);ASCC1(Alzheimer_evidence);ACVR2B(receptor;known_drug_target;Alzheimer_evidence);PTPRF(enzyme;receptor;known_drug_target;Alzheimer_evidence)	SORL1(receptor;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);FADS2(enzyme;Alzheimer_evidence);GM2A(Alzheimer_evidence);BMP2K(kinase;enzyme;known_drug_target;Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);PRDX1(Alzheimer_evidence);ACP5(enzyme;Alzheimer_evidence);NFIB(Alzheimer_evidence);NME4(kinase;enzyme;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);WWOX(enzyme;Alzheimer_evidence);DDAH1(enzyme;known_drug_target;Alzheimer_evidence);SH3BGRL(Alzheimer_evidence);TP53INP1(Alzheimer_evidence);HNF4G(known_drug_target;Alzheimer_evidence);ADH5(enzyme;Alzheimer_evidence);ALDH9A1(enzyme;known_drug_target;Alzheimer_evidence);DIAPH3(Alzheimer_evidence)
ME_M121	0.14817319297647943	0.12591677346169838	0.04359104864063369	0.6541869891995357	0.06188049525400268	0.524640795672736	-0.08052927544956405	0.4073911626221979	0.1665667928298295	0.08490146681956591	0.1665667928298295	121	CT	9	therapeutic_targets	121	1580.235294117647	520	310	268	62	19	4	3	SLC24A4(transporter;known_drug_target;Alzheimer_evidence);SHARPIN(transcription_factor;Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);NDUFB4(Alzheimer_evidence);RXRG(receptor;known_drug_target;Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);IGFBP3(enzyme;Alzheimer_evidence);RAB9A(Alzheimer_evidence);PURA(Alzheimer_evidence);AKAP8L(kinase;enzyme;Alzheimer_evidence);COQ5(enzyme;Alzheimer_evidence);GALM(enzyme;Alzheimer_evidence);DIAPH3(Alzheimer_evidence);ZNF680(transcription_factor;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);TTC28(Alzheimer_evidence);COL21A1(Alzheimer_evidence);GCK(enzyme;known_drug_target;Alzheimer_evidence);BMPR1A(receptor;known_drug_target;Alzheimer_evidence);OSBPL2(Alzheimer_evidence);RARG(receptor;known_drug_target;Alzheimer_evidence);FER(kinase;enzyme;known_drug_target;Alzheimer_evidence);EP300(enzyme;transcription_factor;known_drug_target;Alzheimer_evidence);UBE2L3(enzyme;Alzheimer_evidence);CDK2AP1(kinase;enzyme;Alzheimer_evidence)	SLC24A4(transporter;known_drug_target;Alzheimer_evidence);SHARPIN(transcription_factor;Alzheimer_evidence);ACACA(enzyme;known_drug_target;Alzheimer_evidence);NDUFB4(Alzheimer_evidence);RXRG(receptor;known_drug_target;Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);IGFBP3(enzyme;Alzheimer_evidence);RAB9A(Alzheimer_evidence);PURA(Alzheimer_evidence);AKAP8L(kinase;enzyme;Alzheimer_evidence);COQ5(enzyme;Alzheimer_evidence);GALM(enzyme;Alzheimer_evidence);DIAPH3(Alzheimer_evidence);ZNF680(transcription_factor;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);TTC28(Alzheimer_evidence);COL21A1(Alzheimer_evidence);GCK(enzyme;known_drug_target;Alzheimer_evidence);BMPR1A(receptor;known_drug_target;Alzheimer_evidence);OSBPL2(Alzheimer_evidence)
ME_M122	0.13271777538608648	0.17091804944918804	0.0689554446183174	0.47825489294429796	-0.0036932926728325335	0.9697392434451372	-0.014848839489482684	0.8787717362105344	0.12640935765654254	0.1923582057376143	0.13271777538608648	122	CT	10	therapeutic_targets	122	1257.642857142857	411	242	208	53	15	2	5	BCHE(enzyme;known_drug_target;Alzheimer_evidence);CDKN2A(kinase;enzyme;Alzheimer_evidence);TMEM106B(Alzheimer_evidence);NDUFB4(Alzheimer_evidence);PDGFRA(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);MOB3B(kinase;enzyme;Alzheimer_evidence);MTMR10(Alzheimer_evidence);GABRB1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);PDE9A(enzyme;known_drug_target;Alzheimer_evidence);ZNF652(transcription_factor;Alzheimer_evidence);MAPT(enzyme;known_drug_target;Alzheimer_evidence);ZNF462(transcription_factor;Alzheimer_evidence);ACP5(enzyme;Alzheimer_evidence);IPO13(Alzheimer_evidence);PTPRD(enzyme;receptor;known_drug_target;Alzheimer_evidence);FTCD(enzyme;Alzheimer_evidence);PLCH1(enzyme;known_drug_target;Alzheimer_evidence);ACVR2B(receptor;known_drug_target;Alzheimer_evidence);PTPRF(enzyme;receptor;known_drug_target;Alzheimer_evidence);KLC3(Alzheimer_evidence);TFDP1(transcription_factor;Alzheimer_evidence);PCDH17(Alzheimer_evidence);NEO1(Alzheimer_evidence);TBC1D15(known_drug_target;Alzheimer_evidence)	BCHE(enzyme;known_drug_target;Alzheimer_evidence);CDKN2A(kinase;enzyme;Alzheimer_evidence);TMEM106B(Alzheimer_evidence);NDUFB4(Alzheimer_evidence);PDGFRA(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);MOB3B(kinase;enzyme;Alzheimer_evidence);MTMR10(Alzheimer_evidence);GABRB1(ion_channel;receptor;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);PDE9A(enzyme;known_drug_target;Alzheimer_evidence);ZNF652(transcription_factor;Alzheimer_evidence);MAPT(enzyme;known_drug_target;Alzheimer_evidence);ZNF462(transcription_factor;Alzheimer_evidence);ACP5(enzyme;Alzheimer_evidence);IPO13(Alzheimer_evidence);PTPRD(enzyme;receptor;known_drug_target;Alzheimer_evidence);FTCD(enzyme;Alzheimer_evidence);PLCH1(enzyme;known_drug_target;Alzheimer_evidence);ACVR2B(receptor;known_drug_target;Alzheimer_evidence);PTPRF(enzyme;receptor;known_drug_target;Alzheimer_evidence)
ME_M450	0.10281463464191662	0.28966490210597506	0.06727276416235924	0.48908288120209115	0.06155601673181878	0.5268213516397735	-0.057952418092551	0.5513407641965972	0.03129057351498517	0.7478496591585629	0.10281463464191662	450	CT	11	therapeutic_targets	450	1513.3703703703704	475	286	269	59	17	0	0	AXL(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);CD2AP(Alzheimer_evidence);CLK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SON(Alzheimer_evidence);SF3B1(Alzheimer_evidence);MED1(Alzheimer_evidence);LRP1(receptor;Alzheimer_evidence);BLOC1S5(Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);NUP160(Alzheimer_evidence);NCSTN(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);VEZF1(transcription_factor;Alzheimer_evidence);CTDSP1(enzyme;Alzheimer_evidence);ARNT(receptor;Alzheimer_evidence);NME4(kinase;enzyme;Alzheimer_evidence);TJP2(Alzheimer_evidence);ABL1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NR2F2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);SERPINB6(enzyme;Alzheimer_evidence);WBP1L(Alzheimer_evidence);NECAP2(Alzheimer_evidence);ATP10D(enzyme;known_drug_target;Alzheimer_evidence);SYNE2(Alzheimer_evidence);PKN1(kinase;enzyme;known_drug_target;Alzheimer_evidence)	AXL(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);CD2AP(Alzheimer_evidence);CLK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);SON(Alzheimer_evidence);SF3B1(Alzheimer_evidence);MED1(Alzheimer_evidence);LRP1(receptor;Alzheimer_evidence);BLOC1S5(Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);NUP160(Alzheimer_evidence);NCSTN(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);VEZF1(transcription_factor;Alzheimer_evidence);CTDSP1(enzyme;Alzheimer_evidence);ARNT(receptor;Alzheimer_evidence);NME4(kinase;enzyme;Alzheimer_evidence);TJP2(Alzheimer_evidence);ABL1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NR2F2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);SERPINB6(enzyme;Alzheimer_evidence)
