source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.668	ENSG00000185252.18_AC	ENSG00000050820.16_AC	ENSG00000185252.18_AC	ENSG00000050820.16_AC
3	1	0.537	ENSG00000123395.14_AC	ENSG00000050820.16_AC	ENSG00000123395.14_AC	ENSG00000050820.16_AC
4	1	0.02	ENSG00000160714.9_AC	ENSG00000050820.16_AC	ENSG00000160714.9_AC	ENSG00000050820.16_AC
5	1	0.017	ENSG00000163444.11_AC	ENSG00000050820.16_AC	ENSG00000163444.11_AC	ENSG00000050820.16_AC
6	1	0.016	ENSG00000043143.20_AC	ENSG00000050820.16_AC	ENSG00000043143.20_AC	ENSG00000050820.16_AC
7	1	0.019	ENSG00000141098.12_AC	ENSG00000050820.16_AC	ENSG00000141098.12_AC	ENSG00000050820.16_AC
8	1	0.094	ENSG00000184271.16_AC	ENSG00000050820.16_AC	ENSG00000184271.16_AC	ENSG00000050820.16_AC
9	1	0.148	ENSG00000115289.13_AC	ENSG00000050820.16_AC	ENSG00000115289.13_AC	ENSG00000050820.16_AC
10	1	0.018	ENSG00000096070.19_AC	ENSG00000050820.16_AC	ENSG00000096070.19_AC	ENSG00000050820.16_AC
11	1	0.198	ENSG00000140691.16_AC	ENSG00000050820.16_AC	ENSG00000140691.16_AC	ENSG00000050820.16_AC
12	1	0.012	ENSG00000116809.11_AC	ENSG00000050820.16_AC	ENSG00000116809.11_AC	ENSG00000050820.16_AC
13	1	0.027	ENSG00000126858.16_AC	ENSG00000050820.16_AC	ENSG00000126858.16_AC	ENSG00000050820.16_AC
14	1	0.026	ENSG00000269814.1_AC	ENSG00000050820.16_AC	ENSG00000269814.1_AC	ENSG00000050820.16_AC
15	1	0.012	ENSG00000101574.14_AC	ENSG00000050820.16_AC	ENSG00000101574.14_AC	ENSG00000050820.16_AC
16	1	0.033	ENSG00000130159.13_AC	ENSG00000050820.16_AC	ENSG00000130159.13_AC	ENSG00000050820.16_AC
17	1	0.046	ENSG00000164077.13_AC	ENSG00000050820.16_AC	ENSG00000164077.13_AC	ENSG00000050820.16_AC
18	1	0.058	ENSG00000179943.7_AC	ENSG00000050820.16_AC	ENSG00000179943.7_AC	ENSG00000050820.16_AC
19	1	0.624	ENSG00000060069.16_AC	ENSG00000050820.16_AC	ENSG00000060069.16_AC	ENSG00000050820.16_AC
20	1	0.015	ENSG00000169047.5_AC	ENSG00000050820.16_AC	ENSG00000169047.5_AC	ENSG00000050820.16_AC
1	2	0.15	ENSG00000050820.16_AC	ENSG00000185252.18_AC	ENSG00000050820.16_AC	ENSG00000185252.18_AC
3	2	0.029	ENSG00000123395.14_AC	ENSG00000185252.18_AC	ENSG00000123395.14_AC	ENSG00000185252.18_AC
4	2	0.034	ENSG00000160714.9_AC	ENSG00000185252.18_AC	ENSG00000160714.9_AC	ENSG00000185252.18_AC
5	2	0.25	ENSG00000163444.11_AC	ENSG00000185252.18_AC	ENSG00000163444.11_AC	ENSG00000185252.18_AC
6	2	0.025	ENSG00000043143.20_AC	ENSG00000185252.18_AC	ENSG00000043143.20_AC	ENSG00000185252.18_AC
7	2	0.136	ENSG00000141098.12_AC	ENSG00000185252.18_AC	ENSG00000141098.12_AC	ENSG00000185252.18_AC
8	2	0.352	ENSG00000184271.16_AC	ENSG00000185252.18_AC	ENSG00000184271.16_AC	ENSG00000185252.18_AC
