source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.203	ENSG00000186951.16_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000185432.11_PCGBA23
3	1	0.207	ENSG00000152661.7_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000185432.11_PCGBA23
4	1	0.004	ENSG00000078114.18_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000185432.11_PCGBA23
5	1	0.052	ENSG00000134250.19_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000185432.11_PCGBA23
6	1	0.003	ENSG00000155324.9_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000155324.9_PCGBA23	ENSG00000185432.11_PCGBA23
7	1	0.09	ENSG00000104447.12_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000104447.12_PCGBA23	ENSG00000185432.11_PCGBA23
8	1	0.459	ENSG00000136044.11_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000136044.11_PCGBA23	ENSG00000185432.11_PCGBA23
9	1	0.001	ENSG00000187079.16_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000187079.16_PCGBA23	ENSG00000185432.11_PCGBA23
10	1	0.257	ENSG00000105855.9_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000105855.9_PCGBA23	ENSG00000185432.11_PCGBA23
11	1	0.212	ENSG00000163346.16_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000163346.16_PCGBA23	ENSG00000185432.11_PCGBA23
12	1	0.043	ENSG00000163110.14_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000163110.14_PCGBA23	ENSG00000185432.11_PCGBA23
13	1	0.001	ENSG00000007372.21_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000007372.21_PCGBA23	ENSG00000185432.11_PCGBA23
14	1	0.155	ENSG00000165478.6_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000165478.6_PCGBA23	ENSG00000185432.11_PCGBA23
15	1	0.026	ENSG00000167191.11_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000167191.11_PCGBA23	ENSG00000185432.11_PCGBA23
16	1	0.125	ENSG00000164188.8_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000164188.8_PCGBA23	ENSG00000185432.11_PCGBA23
17	1	0.117	ENSG00000178075.19_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000178075.19_PCGBA23	ENSG00000185432.11_PCGBA23
19	1	0.004	ENSG00000147027.3_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000147027.3_PCGBA23	ENSG00000185432.11_PCGBA23
20	1	0.073	ENSG00000100852.12_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000100852.12_PCGBA23	ENSG00000185432.11_PCGBA23
1	2	0.407	ENSG00000185432.11_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000186951.16_PCGBA23
3	2	0.001	ENSG00000152661.7_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000186951.16_PCGBA23
5	2	0.003	ENSG00000134250.19_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000186951.16_PCGBA23
6	2	0.107	ENSG00000155324.9_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000155324.9_PCGBA23	ENSG00000186951.16_PCGBA23
7	2	0.209	ENSG00000104447.12_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000104447.12_PCGBA23	ENSG00000186951.16_PCGBA23
8	2	0.258	ENSG00000136044.11_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000136044.11_PCGBA23	ENSG00000186951.16_PCGBA23
10	2	0.032	ENSG00000105855.9_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000105855.9_PCGBA23	ENSG00000186951.16_PCGBA23
